"sequencingBatch","sex_ge","age_batch","climb_geno"
"81653","23-model-ad-002","Female",12,"WT/WT"
"81654","23-model-ad-002","Female",12,"WT/VS"
"81655","23-model-ad-002","Male",12,"WT/WT"
"81656","23-model-ad-002","Male",12,"WT/WT"
"81659","23-model-ad-002","Female",12,"WT/WT"
"81660","23-model-ad-002","Female",12,"VS/VS"
"81661","23-model-ad-002","Female",12,"VS/VS"
"81713","23-model-ad-002","Female",12,"WT/WT"
"81836","23-model-ad-002","Female",12,"VS/VS"
"82753","23-model-ad-002","Female",12,"VS/VS"
"83199","23-model-ad-002","Female",12,"FC/FC"
"83901","23-model-ad-002","Male",12,"FC/FC"
"83902","23-model-ad-002","Female",12,"FC/FC"
"83906","23-model-ad-002","Male",12,"FC/FC"
"83907","23-model-ad-002","Female",12,"FC/FC"
"83908","23-model-ad-002","Female",12,"WT/WT"
"83909","23-model-ad-002","Male",12,"FC/FC"
"83910","23-model-ad-002","Male",12,"WT/WT"
"83911","23-model-ad-002-run3","Male",12,"FC/FC"
"83913","23-model-ad-002-run3","Male",12,"FC/FC"
"83914","23-model-ad-002-run2","Male",12,"FC/FC"
"83916","23-model-ad-002","Female",12,"WT/WT"
"83917","23-model-ad-002","Female",12,"WT/FC"
"83965","23-model-ad-002-run3","Male",12,"WT/WT"
"83966","23-model-ad-002","Male",12,"WT/FC"
"83969","23-model-ad-002","Female",12,"WT/FC"
"84087","23-model-ad-002","Male",4,"WT/FC"
"84088","23-model-ad-002-run3","Male",4,"WT/WT"
"84089","23-model-ad-002-run3","Male",4,"FC/FC"
"84126","23-model-ad-002","Female",4,"FC/FC"
"84127","23-model-ad-002","Female",4,"WT/WT"
"84128","23-model-ad-002","Male",4,"FC/FC"
"84129","23-model-ad-002-run2","Male",4,"WT/WT"
"84130","23-model-ad-002","Male",4,"FC/FC"
"84133","23-model-ad-002","Male",4,"FC/FC"
"84135","23-model-ad-002","Male",4,"WT/WT"
"84136","23-model-ad-002","Male",4,"WT/WT"
"84200","23-model-ad-002","Female",12,"WT/FC"
"84461","23-model-ad-002","Male",4,"WT/VS"
"84462","23-model-ad-002","Male",4,"VS/VS"
"84463","23-model-ad-002","Male",4,"WT/WT"
"84464","23-model-ad-002","Male",4,"WT/VS"
"84616","23-model-ad-002","Male",4,"WT/WT"
"85805","23-model-ad-002","Female",4,"VS/VS"
"85807","23-model-ad-002","Male",4,"WT/WT"
"85808","23-model-ad-002-run3","Male",4,"WT/VS"
"85809","23-model-ad-002-run3","Male",4,"VS/VS"
"85810","23-model-ad-002","Male",4,"WT/VS"
"85956","23-model-ad-002","Male",4,"WT/VS"
"85957","23-model-ad-002","Male",4,"WT/WT"
"85958","23-model-ad-002-run3","Male",4,"WT/VS"
"85959","23-model-ad-002","Male",4,"WT/WT"
"85961","23-model-ad-002","Female",4,"WT/VS"
"85962","23-model-ad-002","Female",4,"VS/VS"
"85963","23-model-ad-002","Female",4,"WT/WT"
"85964","23-model-ad-002-run3","Female",4,"VS/VS"
"85965","23-model-ad-002","Female",4,"WT/VS"
"85967","23-model-ad-002","Female",4,"WT/WT"
"86014","23-model-ad-002","Male",4,"WT/WT"
"86330","23-model-ad-002","Female",4,"WT/FC"
"86331","23-model-ad-002","Male",4,"WT/FC"
"86332","23-model-ad-002","Male",4,"FC/FC"
"86333","23-model-ad-002","Female",4,"WT/WT"
"86334","23-model-ad-002","Female",4,"WT/FC"
"86335","23-model-ad-002","Female",4,"WT/FC"
"86336","23-model-ad-002","Male",4,"WT/WT"
"86337","23-model-ad-002","Male",4,"WT/FC"
"86374","23-model-ad-002-run3","Male",4,"WT/FC"
"86375","23-model-ad-002","Male",4,"FC/FC"
"89053","23-model-ad-002","Female",4,"FC/FC"
"89054","23-model-ad-002","Female",4,"WT/FC"
"89055","23-model-ad-002","Female",4,"WT/FC"
"89056","23-model-ad-002","Female",4,"WT/FC"
"89058","23-model-ad-002","Male",4,"WT/FC"
"89059","23-model-ad-002","Male",4,"WT/FC"
"89149","23-model-ad-002","Female",4,"WT/WT"
"89151","23-model-ad-002-run3","Female",4,"WT/WT"
"89370","23-model-ad-002","Female",4,"FC/FC"
"90103","23-model-ad-002","Female",4,"WT/WT"
"90104","23-model-ad-002","Female",4,"WT/WT"
"90105","23-model-ad-002","Male",4,"WT/WT"
"98233","23-model-ad-002-run3","Female",4,"VS/VS"
"98556","23-model-ad-002","Female",4,"WT/WT"
"98756","23-model-ad-002","Female",4,"VS/VS"
"98759","23-model-ad-002","Male",4,"VS/VS"
"98928","23-model-ad-002","Female",4,"VS/VS"
"98929","23-model-ad-002","Male",4,"VS/VS"
"98930","23-model-ad-002","Male",4,"VS/VS"
